Date,UPROSIM,LTTSIM,LTT,LTTx2,LTTx3,SPY,SPYx2,SPYx3,UPRO,TMF
1987-05-08,1.389749982,0.8928116347,338.79,0.9008610655,0.9006465748,,,,,
1987-05-11,1.370293482,0.9070966209,338.79,0.9006465748,0.9004321351,,,,,
1987-05-12,1.345628199,0.8998398479,338.79,0.9004321351,0.9002177465,,,,,
1987-05-13,1.368503879,0.8764440119,338.79,0.9002177465,0.900003409,,,,,
1987-05-14,1.378083406,0.8764440119,338.79,0.900003409,0.8997891224,,,,,
1987-05-15,1.382217656,0.8790733439,338.79,0.8997891224,0.8995748869,,,,,
1987-05-18,1.286844638,0.83599875,338.79,0.8995748869,0.8993607024,,,,,
1987-05-19,1.273976191,0.8351627513,338.79,0.8993607024,0.8991465689,,,,,
1987-05-20,1.182249906,0.8243056355,338.79,0.8991465689,0.8989324864,,,,,
1987-05-21,1.164516157,0.8053466059,338.79,0.8989324864,0.8987184549,,,,,
1987-05-22,1.188970996,0.8053466059,338.79,0.8987184549,0.8985044743,,,,,
1987-05-26,1.215128358,0.8158161118,338.79,0.8985044743,0.8982905446,,,,,
1987-05-27,1.303832728,0.8598701818,338.79,0.8982905446,0.8980766659,,,,,
1987-05-28,1.298617398,0.8650294029,338.79,0.8980766659,0.8978628382,,,,,
1987-05-29,1.324589746,0.8503239031,334.78,0.8766081968,0.8657670992,,,,,
1987-06-01,1.315317617,0.8877381548,334.78,0.8657670992,0.8655609642,,,,,
1987-06-02,1.311371664,0.906380656,334.78,0.8655609642,0.8653548782,,,,,
1987-06-03,1.291701089,0.853810578,334.78,0.8653548782,0.8651488413,,,,,
1987-06-04,1.358869546,0.8614948732,334.78,0.8651488413,0.8649428535,,,,,
1987-06-05,1.381970328,0.8614948732,334.78,0.8649428535,0.8647369148,,,,,
1987-06-08,1.357094863,0.8804477604,334.78,0.8647369148,0.864531025,,,,,
1987-06-09,1.401878993,0.8795673126,334.78,0.864531025,0.8643251843,,,,,
